Name,latitude,longitude,type
Tour Eiffel (France),48.8583701,2.2944813,monument
Statue de la Liberté (E-U),40.6892494,-74.0445004,monument
Coliséum (Italie),41.8900182,12.4936757,monument
Tour de Pise (Italie),43.722952,10.396597,monument
Pyramides de Gizeh (Egypte),29.9794715528655,31.13420933768822,monument
Grande Muraille (Chine),40.4319077,116.5703749,monument
Taj Mahal (Inde),27.1751448,78.0421422,monument
Panneau Hollywood (E-U),34.1340214,-118.3216766,monument
Chichén-Itzá (Méxique),20.6787816,-88.5684769,monument
Kremlin de Moscou (Russie),55.7520233,37.6174994,monument
Stonehenge (Angleterre),51.178882,-1.826215,monument
Parlement de Budapest (Hongrie),47.507121,19.045669,monument
Grand temple d'Abou Simbel (Egypte),22.3372319,31.625799,monument
Christ rédempteur (Brésil),-22.951916,-43.2104872,monument
